Name,Image,National Number,Type,Species,Height,Weight,Abilities,Local Number,EV yield,Catch rate,Base Friendship,Base Exp.,Growth Rate,Egg Groups,Gender,Egg cycles,HP,Min HP,Max HP,Attack,Min Attack,Max Attack,Defense,Min Defense,Max Defense,Sp. Atk,Min Sp. Atk,Max Sp. Atk,Sp. Def,Min Sp. Def,Max Sp. Def,Speed,Min Speed,Max Speed,Total,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
Hitmonchan,https://img.pokemondb.net/artwork/hitmonchan.jpg,0107,Fighting,Punching Pokémon,1.4 m (4′07″),50.2 kg (110.7 lbs),1. Keen Eye2. Iron FistInner Focus (hidden ability),0107 (Red/Blue/Yellow)0145 (Gold/Silver/Crystal)0107 (FireRed/LeafGreen)0147 (HeartGold/SoulSilver)0107 (Let's Go Pikachu/Let's Go Eevee)0109 (Sword/Shield),2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),159,Medium Fast,Human-Like,"100% male, 0% female","25 (6,169–6,425 steps)",50,210,304,105,193,339,79,146,282,35,67,185,110,202,350,76,141,276,455,100,100,100,100,100,100,100,100,100,200,200,50,50,100,100,50,100,200
Lickitung,https://img.pokemondb.net/artwork/lickitung.jpg,0108,Normal,Licking Pokémon,1.2 m (3′11″),65.5 kg (144.4 lbs),1. Own Tempo2. ObliviousCloud Nine (hidden ability),0108 (Red/Blue/Yellow)0178 (Gold/Silver/Crystal)0108 (FireRed/LeafGreen)0161 (Platinum)0180 (HeartGold/SoulSilver)0284 (Black 2/White 2)0134 (X/Y — Mountain Kalos)0375 (U.Sun/U.Moon — Alola dex)0108 (Let's Go Pikachu/Let's Go Eevee)0125 (Legends: Arceus)0054 (The Isle of Armor),2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),77,Medium Fast,Monster,"50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,55,103,229,75,139,273,60,112,240,75,139,273,30,58,174,385,100,100,100,100,100,100,200,100,100,100,100,100,100,0,100,100,100,100
Koffing,https://img.pokemondb.net/artwork/koffing.jpg,0109,Poison,Poison Gas Pokémon,0.6 m (2′00″),1.0 kg (2.2 lbs),1. Levitate2. Neutralizing GasStench (hidden ability),0109 (Red/Blue/Yellow)0114 (Gold/Silver/Crystal)0108 (Ruby/Sapphire/Emerald)0109 (FireRed/LeafGreen)0115 (HeartGold/SoulSilver)0046 (Black 2/White 2)0113 (Omega Ruby/Alpha Sapphire)0109 (Let's Go Pikachu/Let's Go Eevee)0250 (Sword/Shield),1 Defense,"190 (24.8% with PokéBall, full HP)",50 (normal),68,Medium Fast,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,65,121,251,95,175,317,60,112,240,45,85,207,35,67,185,340,100,100,100,100,50,100,50,50,0,100,200,50,100,100,100,100,100,50
Weezing,https://img.pokemondb.net/artwork/weezing.jpg,0110,Poison,Poison Gas Pokémon,1.2 m (3′11″),9.5 kg (20.9 lbs),1. Levitate2. Neutralizing GasStench (hidden ability),0110 (Red/Blue/Yellow)0115 (Gold/Silver/Crystal)0109 (Ruby/Sapphire/Emerald)0110 (FireRed/LeafGreen)0116 (HeartGold/SoulSilver)0047 (Black 2/White 2)0114 (Omega Ruby/Alpha Sapphire)0110 (Let's Go Pikachu/Let's Go Eevee)0251 (Sword/Shield),2 Defense,"60 (7.8% with PokéBall, full HP)",50 (normal),172,Medium Fast,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,90,166,306,120,220,372,85,157,295,70,130,262,60,112,240,490,100,100,100,100,50,100,50,50,0,100,200,50,100,100,100,100,100,50
Galarian Weezing,https://img.pokemondb.net/artwork/weezing-galarian.jpg,0110,Poison,Poison Gas Pokémon,1.2 m (3′11″),9.5 kg (20.9 lbs),1. Levitate2. Neutralizing GasStench (hidden ability),0110 (Red/Blue/Yellow)0115 (Gold/Silver/Crystal)0109 (Ruby/Sapphire/Emerald)0110 (FireRed/LeafGreen)0116 (HeartGold/SoulSilver)0047 (Black 2/White 2)0114 (Omega Ruby/Alpha Sapphire)0110 (Let's Go Pikachu/Let's Go Eevee)0251 (Sword/Shield),2 Defense,"60 (7.8% with PokéBall, full HP)",50 (normal),172,Medium Fast,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,90,166,306,120,220,372,85,157,295,70,130,262,60,112,240,490,100,100,100,100,50,100,50,50,0,100,200,50,100,100,100,100,100,50
Rhyhorn,https://img.pokemondb.net/artwork/rhyhorn.jpg,0111,Ground Rock,Spikes Pokémon,1.0 m (3′03″),115.0 kg (253.5 lbs),1. Lightning Rod2. Rock HeadReckless (hidden ability),0111 (Red/Blue/Yellow)0206 (Gold/Silver/Crystal)0169 (Ruby/Sapphire/Emerald)0111 (FireRed/LeafGreen)0186 (Platinum)0211 (HeartGold/SoulSilver)0050 (X/Y — Coastal Kalos)0176 (Omega Ruby/Alpha Sapphire)0111 (Let's Go Pikachu/Let's Go Eevee)0264 (Sword/Shield)0120 (Legends: Arceus)0183 (The Isle of Armor),1 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),69,Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,85,157,295,95,175,317,30,58,174,30,58,174,25,49,163,345,50,50,400,0,400,200,200,25,200,50,100,100,50,100,100,100,200,100
Rhydon,https://img.pokemondb.net/artwork/rhydon.jpg,0112,Ground Rock,Drill Pokémon,1.9 m (6′03″),120.0 kg (264.6 lbs),1. Lightning Rod2. Rock HeadReckless (hidden ability),0112 (Red/Blue/Yellow)0207 (Gold/Silver/Crystal)0170 (Ruby/Sapphire/Emerald)0112 (FireRed/LeafGreen)0187 (Platinum)0212 (HeartGold/SoulSilver)0051 (X/Y — Coastal Kalos)0177 (Omega Ruby/Alpha Sapphire)0112 (Let's Go Pikachu/Let's Go Eevee)0265 (Sword/Shield)0121 (Legends: Arceus)0184 (The Isle of Armor),2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),170,Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)",105,320,414,130,238,394,120,220,372,45,85,207,45,85,207,40,76,196,485,50,50,400,0,400,200,200,25,200,50,100,100,50,100,100,100,200,100
Chansey,https://img.pokemondb.net/artwork/chansey.jpg,0113,Normal,Egg Pokémon,1.1 m (3′07″),34.6 kg (76.3 lbs),1. Natural Cure2. Serene GraceHealer (hidden ability),0113 (Red/Blue/Yellow)0217 (Gold/Silver/Crystal)0113 (FireRed/LeafGreen)0097 (Diamond/Pearl)0097 (Platinum)0222 (HeartGold/SoulSilver)0033 (Sun/Moon — Alola dex)0040 (U.Sun/U.Moon — Alola dex)0113 (Let's Go Pikachu/Let's Go Eevee)0097 (Brilliant Diamond/Shining Pearl)0087 (Legends: Arceus)0044 (Scarlet/Violet)0007 (The Isle of Armor),2 HP,"30 (3.9% with PokéBall, full HP)",140 (higher than normal),395,Fast,Fairy,"0% male, 100% female","40 (10,024–10,280 steps)",250,610,704,5,13,119,5,13,119,35,67,185,105,193,339,50,94,218,450,100,100,100,100,100,100,200,100,100,100,100,100,100,0,100,100,100,100
Tangela,https://img.pokemondb.net/artwork/tangela.jpg,0114,Grass,Vine Pokémon,1.0 m (3′03″),35.0 kg (77.2 lbs),1. Chlorophyll2. Leaf GuardRegenerator (hidden ability),0114 (Red/Blue/Yellow)0179 (Gold/Silver/Crystal)0114 (FireRed/LeafGreen)0181 (Platinum)0182 (HeartGold/SoulSilver)0217 (Black 2/White 2)0114 (Let's Go Pikachu/Let's Go Eevee)0095 (Legends: Arceus)0080 (The Isle of Armor),1 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),87,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,55,103,229,115,211,361,100,184,328,40,76,196,60,112,240,435,100,200,50,50,50,200,100,200,50,200,100,200,100,100,100,100,100,100
Kangaskhan,https://img.pokemondb.net/artwork/kangaskhan.jpg,0115,Normal,Parent Pokémon,2.2 m (7′03″),80.0 kg (176.4 lbs),1. Early Bird2. ScrappyInner Focus (hidden ability),0115 (Red/Blue/Yellow)0205 (Gold/Silver/Crystal)0115 (FireRed/LeafGreen)0210 (HeartGold/SoulSilver)0062 (X/Y — Coastal Kalos)0165 (Sun/Moon — Alola dex)0199 (U.Sun/U.Moon — Alola dex)0115 (Let's Go Pikachu/Let's Go Eevee)0172 (The Isle of Armor),2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Medium Fast,Monster,"0% male, 100% female","20 (4,884–5,140 steps)",105,320,414,95,175,317,80,148,284,40,76,196,80,148,284,90,166,306,490,100,100,100,100,100,100,200,100,100,100,100,100,100,0,100,100,100,100
Mega Kangaskhan,https://img.pokemondb.net/artwork/kangaskhan-mega.jpg,0115,Normal,Parent Pokémon,2.2 m (7′03″),80.0 kg (176.4 lbs),1. Early Bird2. ScrappyInner Focus (hidden ability),0115 (Red/Blue/Yellow)0205 (Gold/Silver/Crystal)0115 (FireRed/LeafGreen)0210 (HeartGold/SoulSilver)0062 (X/Y — Coastal Kalos)0165 (Sun/Moon — Alola dex)0199 (U.Sun/U.Moon — Alola dex)0115 (Let's Go Pikachu/Let's Go Eevee)0172 (The Isle of Armor),2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Medium Fast,Monster,"0% male, 100% female","20 (4,884–5,140 steps)",105,320,414,95,175,317,80,148,284,40,76,196,80,148,284,90,166,306,490,100,100,100,100,100,100,200,100,100,100,100,100,100,0,100,100,100,100
Horsea,https://img.pokemondb.net/artwork/horsea.jpg,0116,Water,Dragon Pokémon,0.4 m (1′04″),8.0 kg (17.6 lbs),1. Swift Swim2. SniperDamp (hidden ability),0116 (Red/Blue/Yellow)0186 (Gold/Silver/Crystal)0184 (Ruby/Sapphire/Emerald)0116 (FireRed/LeafGreen)0190 (HeartGold/SoulSilver)0039 (X/Y — Coastal Kalos)0193 (Omega Ruby/Alpha Sapphire)0116 (Let's Go Pikachu/Let's Go Eevee)0198 (The Isle of Armor),1 Sp. Atk,"225 (29.4% with PokéBall, full HP)",50 (normal),59,Medium Fast,"Dragon, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",30,170,264,40,76,196,70,130,262,70,130,262,25,49,163,60,112,240,295,100,50,50,200,200,50,100,100,100,100,100,100,100,100,100,100,50,100
Seadra,https://img.pokemondb.net/artwork/seadra.jpg,0117,Water,Dragon Pokémon,1.2 m (3′11″),25.0 kg (55.1 lbs),1. Poison Point2. SniperDamp (hidden ability),0117 (Red/Blue/Yellow)0187 (Gold/Silver/Crystal)0185 (Ruby/Sapphire/Emerald)0117 (FireRed/LeafGreen)0191 (HeartGold/SoulSilver)0040 (X/Y — Coastal Kalos)0194 (Omega Ruby/Alpha Sapphire)0117 (Let's Go Pikachu/Let's Go Eevee)0199 (The Isle of Armor),"1 Defense, 1 Sp. Atk","75 (9.8% with PokéBall, full HP)",50 (normal),154,Medium Fast,"Dragon, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,65,121,251,95,175,317,95,175,317,45,85,207,85,157,295,440,100,50,50,200,200,50,100,100,100,100,100,100,100,100,100,100,50,100
Goldeen,https://img.pokemondb.net/artwork/goldeen.jpg,0118,Water,Goldfish Pokémon,0.6 m (2′00″),15.0 kg (33.1 lbs),1. Swift Swim2. Water VeilLightning Rod (hidden ability),0118 (Yellow/Red/Blue)0078 (Gold/Silver/Crystal)0050 (Ruby/Sapphire/Emerald)0118 (FireRed/LeafGreen)0078 (Diamond/Pearl)0078 (Platinum)0078 (HeartGold/SoulSilver)0053 (X/Y — Central Kalos)0051 (Omega Ruby/Alpha Sapphire)0153 (Sun/Moon — Alola dex)0186 (U.Sun/U.Moon — Alola dex)0118 (Let's Go Pikachu/Let's Go Eevee)0146 (Sword/Shield)0078 (Brilliant Diamond/Shining Pearl)0094 (The Isle of Armor),1 Attack,"225 (29.4% with PokéBall, full HP)",50 (normal),64,Medium Fast,Water 2,"50% male, 50% female","20 (4,884–5,140 steps)",45,200,294,67,125,256,60,112,240,35,67,185,50,94,218,63,117,247,320,100,50,50,200,200,50,100,100,100,100,100,100,100,100,100,100,50,100
Seaking,https://img.pokemondb.net/artwork/seaking.jpg,0119,Water,Goldfish Pokémon,1.3 m (4′03″),39.0 kg (86.0 lbs),1. Swift Swim2. Water VeilLightning Rod (hidden ability),0119 (Yellow/Red/Blue)0079 (Gold/Silver/Crystal)0051 (Ruby/Sapphire/Emerald)0119 (FireRed/LeafGreen)0079 (Diamond/Pearl)0079 (Platinum)0079 (HeartGold/SoulSilver)0054 (X/Y — Central Kalos)0052 (Omega Ruby/Alpha Sapphire)0154 (Sun/Moon — Alola dex)0187 (U.Sun/U.Moon — Alola dex)0119 (Let's Go Pikachu/Let's Go Eevee)0147 (Sword/Shield)0079 (Brilliant Diamond/Shining Pearl)0095 (The Isle of Armor),2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),158,Medium Fast,Water 2,"50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,92,170,311,65,121,251,65,121,251,80,148,284,68,126,258,450,100,50,50,200,200,50,100,100,100,100,100,100,100,100,100,100,50,100
Staryu,https://img.pokemondb.net/artwork/staryu.jpg,0120,Water,Star Shape Pokémon,0.8 m (2′07″),34.5 kg (76.1 lbs),1. Illuminate2. Natural CureAnalytic (hidden ability),0120 (Red/Blue/Yellow)0167 (Gold/Silver/Crystal)0143 (Ruby/Sapphire/Emerald)0120 (FireRed/LeafGreen)0169 (HeartGold/SoulSilver)0238 (Black 2/White 2)0034 (X/Y — Coastal Kalos)0148 (Omega Ruby/Alpha Sapphire)0184 (Sun/Moon — Alola dex)0223 (U.Sun/U.Moon — Alola dex)0120 (Let's Go Pikachu/Let's Go Eevee)0098 (The Isle of Armor),1 Speed,"225 (29.4% with PokéBall, full HP)",50 (normal),68,Slow,Water 3,Genderless,"20 (4,884–5,140 steps)",30,170,264,45,85,207,55,103,229,70,130,262,55,103,229,85,157,295,340,100,50,50,200,200,50,100,100,100,100,100,100,100,100,100,100,50,100
Starmie,https://img.pokemondb.net/artwork/starmie.jpg,0121,Water Psychic,Mysterious Pokémon,1.1 m (3′07″),80.0 kg (176.4 lbs),1. Illuminate2. Natural CureAnalytic (hidden ability),0121 (Red/Blue/Yellow)0168 (Gold/Silver/Crystal)0144 (Ruby/Sapphire/Emerald)0121 (FireRed/LeafGreen)0170 (HeartGold/SoulSilver)0239 (Black 2/White 2)0035 (X/Y — Coastal Kalos)0149 (Omega Ruby/Alpha Sapphire)0185 (Sun/Moon — Alola dex)0224 (U.Sun/U.Moon — Alola dex)0121 (Let's Go Pikachu/Let's Go Eevee)0099 (The Isle of Armor),2 Speed,"60 (7.8% with PokéBall, full HP)",50 (normal),182,Slow,Water 3,Genderless,"20 (4,884–5,140 steps)",60,230,324,75,139,273,85,157,295,100,184,328,85,157,295,115,211,361,520,100,50,50,200,200,50,50,100,100,100,50,200,100,200,100,200,50,100
Mr. Mime,https://img.pokemondb.net/artwork/mr-mime.jpg,0122,Psychic Fairy,Barrier Pokémon,1.3 m (4′03″),54.5 kg (120.2 lbs),1. Soundproof2. FilterTechnician (hidden ability),0122 (Red/Blue/Yellow)0156 (Gold/Silver/Crystal)0122 (FireRed/LeafGreen)0095 (Diamond/Pearl)0095 (Platinum)0158 (HeartGold/SoulSilver)0114 (X/Y — Coastal Kalos)0060 (U.Sun/U.Moon — Alola dex)0122 (Let's Go Pikachu/Let's Go Eevee)0365 (Sword/Shield)0095 (Brilliant Diamond/Shining Pearl)0077 (Legends: Arceus)0011 (The Crown Tundra),2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),161,Medium Fast,Human-Like,"50% male, 50% female","25 (6,169–6,425 steps)",40,190,284,45,85,207,65,121,251,100,184,328,120,220,372,90,166,306,460,100,100,100,100,100,100,25,200,100,100,50,100,100,200,0,100,200,100
Galarian Mr. Mime,https://img.pokemondb.net/artwork/mr-mime-galarian.jpg,0122,Psychic Fairy,Barrier Pokémon,1.3 m (4′03″),54.5 kg (120.2 lbs),1. Soundproof2. FilterTechnician (hidden ability),0122 (Red/Blue/Yellow)0156 (Gold/Silver/Crystal)0122 (FireRed/LeafGreen)0095 (Diamond/Pearl)0095 (Platinum)0158 (HeartGold/SoulSilver)0114 (X/Y — Coastal Kalos)0060 (U.Sun/U.Moon — Alola dex)0122 (Let's Go Pikachu/Let's Go Eevee)0365 (Sword/Shield)0095 (Brilliant Diamond/Shining Pearl)0077 (Legends: Arceus)0011 (The Crown Tundra),2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),161,Medium Fast,Human-Like,"50% male, 50% female","25 (6,169–6,425 steps)",40,190,284,45,85,207,65,121,251,100,184,328,120,220,372,90,166,306,460,100,100,100,100,100,100,25,200,100,100,50,100,100,200,0,100,200,100
Scyther,https://img.pokemondb.net/artwork/scyther.jpg,0123,Bug Flying,Mantis Pokémon,1.5 m (4′11″),56.0 kg (123.5 lbs),1. Swarm2. TechnicianSteadfast (hidden ability),0123 (Red/Blue/Yellow)0110 (Gold/Silver/Crystal)0123 (FireRed/LeafGreen)0195 (Platinum)0111 (HeartGold/SoulSilver)0136 (X/Y — Mountain Kalos)0275 (Sun/Moon — Alola dex)0365 (U.Sun/U.Moon — Alola dex)0123 (Let's Go Pikachu/Let's Go Eevee)0072 (Legends: Arceus)0260 (Scarlet/Violet)0118 (The Isle of Armor),1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),100,Medium Fast,Bug,"50% male, 50% female","25 (6,169–6,425 steps)",70,250,344,110,202,350,80,148,284,55,103,229,80,148,284,105,193,339,500,100,200,100,200,25,200,25,100,0,200,100,50,400,100,100,100,100,100
Jynx,https://img.pokemondb.net/artwork/jynx.jpg,0124,Ice Psychic,Human Shape Pokémon,1.4 m (4′07″),40.6 kg (89.5 lbs),1. Oblivious2. ForewarnDry Skin (hidden ability),0124 (Red/Blue/Yellow)0153 (Gold/Silver/Crystal)0124 (FireRed/LeafGreen)0155 (HeartGold/SoulSilver)0084 (X/Y — Mountain Kalos)0110 (U.Sun/U.Moon — Alola dex)0124 (Let's Go Pikachu/Let's Go Eevee)0014 (The Crown Tundra),2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),159,Medium Fast,Human-Like,"0% male, 100% female","25 (6,169–6,425 steps)",65,240,334,50,94,218,35,67,185,115,211,361,95,175,317,95,175,317,455,100,200,100,100,100,50,100,100,100,100,50,200,200,200,100,200,200,100
Electabuzz,https://img.pokemondb.net/artwork/electabuzz.jpg,0125,Electric,Electric Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs),1. StaticVital Spirit (hidden ability),0125 (Red/Blue/Yellow)0155 (Gold/Silver/Crystal)0125 (FireRed/LeafGreen)0198 (Platinum)0157 (HeartGold/SoulSilver)0057 (Black 2/White 2)0227 (Sun/Moon — Alola dex)0296 (U.Sun/U.Moon — Alola dex)0125 (Let's Go Pikachu/Let's Go Eevee)0183 (Legends: Arceus)0016 (The Crown Tundra),2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Medium Fast,Human-Like,"75% male, 25% female","25 (6,169–6,425 steps)",65,240,334,83,153,291,57,107,234,95,175,317,85,157,295,105,193,339,490,100,100,100,50,100,100,100,100,200,50,100,100,100,100,100,100,50,100
Magmar,https://img.pokemondb.net/artwork/magmar.jpg,0126,Fire,Spitfire Pokémon,1.3 m (4′03″),44.5 kg (98.1 lbs),1. Flame BodyVital Spirit (hidden ability),0126 (Red/Blue/Yellow)0151 (Gold/Silver/Crystal)0126 (FireRed/LeafGreen)0201 (Platinum)0153 (HeartGold/SoulSilver)0054 (Black 2/White 2)0167 (Sun/Moon — Alola dex)0201 (U.Sun/U.Moon — Alola dex)0126 (Let's Go Pikachu/Let's Go Eevee)0175 (Legends: Arceus)0019 (The Crown Tundra),2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),173,Medium Fast,Human-Like,"75% male, 25% female","25 (6,169–6,425 steps)",65,240,334,95,175,317,57,107,234,100,184,328,85,157,295,93,171,313,495,100,50,200,100,50,50,100,100,200,100,100,50,200,100,100,100,50,50
Pinsir,https://img.pokemondb.net/artwork/pinsir.jpg,0127,Bug,Stag Beetle Pokémon,1.5 m (4′11″),55.0 kg (121.3 lbs),1. Hyper Cutter2. Mold BreakerMoxie (hidden ability),0127 (Red/Blue/Yellow)0112 (Gold/Silver/Crystal)0167 (Ruby/Sapphire/Emerald)0127 (FireRed/LeafGreen)0113 (HeartGold/SoulSilver)0146 (Black 2/White 2)0130 (X/Y — Coastal Kalos)0174 (Omega Ruby/Alpha Sapphire)0175 (Sun/Moon — Alola dex)0211 (U.Sun/U.Moon — Alola dex)0127 (Let's Go Pikachu/Let's Go Eevee)0120 (The Isle of Armor),2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),175,Slow,Bug,"50% male, 50% female","25 (6,169–6,425 steps)",65,240,334,125,229,383,100,184,328,55,103,229,70,130,262,85,157,295,500,100,200,100,100,50,100,50,100,50,200,100,100,200,100,100,100,100,100
Mega Pinsir,https://img.pokemondb.net/artwork/pinsir-mega.jpg,0127,Bug,Stag Beetle Pokémon,1.5 m (4′11″),55.0 kg (121.3 lbs),1. Hyper Cutter2. Mold BreakerMoxie (hidden ability),0127 (Red/Blue/Yellow)0112 (Gold/Silver/Crystal)0167 (Ruby/Sapphire/Emerald)0127 (FireRed/LeafGreen)0113 (HeartGold/SoulSilver)0146 (Black 2/White 2)0130 (X/Y — Coastal Kalos)0174 (Omega Ruby/Alpha Sapphire)0175 (Sun/Moon — Alola dex)0211 (U.Sun/U.Moon — Alola dex)0127 (Let's Go Pikachu/Let's Go Eevee)0120 (The Isle of Armor),2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),175,Slow,Bug,"50% male, 50% female","25 (6,169–6,425 steps)",65,240,334,125,229,383,100,184,328,55,103,229,70,130,262,85,157,295,500,100,200,100,100,50,100,50,100,50,200,100,100,200,100,100,100,100,100
Tauros,https://img.pokemondb.net/artwork/tauros.jpg,0128,Normal,Wild Bull Pokémon,1.4 m (4′07″),88.4 kg (194.9 lbs),1. Intimidate2. Anger PointSheer Force (hidden ability),0128 (Red/Blue/Yellow)0148 (Gold/Silver/Crystal)0128 (FireRed/LeafGreen)0150 (HeartGold/SoulSilver)0125 (X/Y — Coastal Kalos)0137 (Sun/Moon — Alola dex)0170 (U.Sun/U.Moon — Alola dex)0128 (Let's Go Pikachu/Let's Go Eevee)0223 (Scarlet/Violet)0116 (The Isle of Armor),"1 Attack, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),172,Slow,Field,"100% male, 0% female","20 (4,884–5,140 steps)",75,260,354,100,184,328,95,175,317,40,76,196,70,130,262,110,202,350,490,100,100,100,100,100,100,200,100,100,100,100,100,100,0,100,100,100,100
Combat Breed,https://img.pokemondb.net/artwork/tauros-paldean.jpg,0128,Normal,Wild Bull Pokémon,1.4 m (4′07″),88.4 kg (194.9 lbs),1. Intimidate2. Anger PointSheer Force (hidden ability),0128 (Red/Blue/Yellow)0148 (Gold/Silver/Crystal)0128 (FireRed/LeafGreen)0150 (HeartGold/SoulSilver)0125 (X/Y — Coastal Kalos)0137 (Sun/Moon — Alola dex)0170 (U.Sun/U.Moon — Alola dex)0128 (Let's Go Pikachu/Let's Go Eevee)0223 (Scarlet/Violet)0116 (The Isle of Armor),"1 Attack, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),172,Slow,Field,"100% male, 0% female","20 (4,884–5,140 steps)",75,260,354,100,184,328,95,175,317,40,76,196,70,130,262,110,202,350,490,100,100,100,100,100,100,200,100,100,100,100,100,100,0,100,100,100,100
Blaze Breed,https://img.pokemondb.net/artwork/tauros-blaze.jpg,0128,Normal,Wild Bull Pokémon,1.4 m (4′07″),88.4 kg (194.9 lbs),1. Intimidate2. Anger PointSheer Force (hidden ability),0128 (Red/Blue/Yellow)0148 (Gold/Silver/Crystal)0128 (FireRed/LeafGreen)0150 (HeartGold/SoulSilver)0125 (X/Y — Coastal Kalos)0137 (Sun/Moon — Alola dex)0170 (U.Sun/U.Moon — Alola dex)0128 (Let's Go Pikachu/Let's Go Eevee)0223 (Scarlet/Violet)0116 (The Isle of Armor),"1 Attack, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),172,Slow,Field,"100% male, 0% female","20 (4,884–5,140 steps)",75,260,354,100,184,328,95,175,317,40,76,196,70,130,262,110,202,350,490,100,100,100,100,100,100,200,100,100,100,100,100,100,0,100,100,100,100
Aqua Breed,https://img.pokemondb.net/artwork/tauros-aqua.jpg,0128,Normal,Wild Bull Pokémon,1.4 m (4′07″),88.4 kg (194.9 lbs),1. Intimidate2. Anger PointSheer Force (hidden ability),0128 (Red/Blue/Yellow)0148 (Gold/Silver/Crystal)0128 (FireRed/LeafGreen)0150 (HeartGold/SoulSilver)0125 (X/Y — Coastal Kalos)0137 (Sun/Moon — Alola dex)0170 (U.Sun/U.Moon — Alola dex)0128 (Let's Go Pikachu/Let's Go Eevee)0223 (Scarlet/Violet)0116 (The Isle of Armor),"1 Attack, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),172,Slow,Field,"100% male, 0% female","20 (4,884–5,140 steps)",75,260,354,100,184,328,95,175,317,40,76,196,70,130,262,110,202,350,490,100,100,100,100,100,100,200,100,100,100,100,100,100,0,100,100,100,100
Magikarp,https://img.pokemondb.net/artwork/magikarp.jpg,0129,Water,Fish Pokémon,0.9 m (2′11″),10.0 kg (22.0 lbs),1. Swift SwimRattled (hidden ability),0129 (Yellow/Red/Blue)0076 (Gold/Silver/Crystal)0052 (Ruby/Sapphire/Emerald)0129 (FireRed/LeafGreen)0023 (Diamond/Pearl)0023 (Platinum)0076 (HeartGold/SoulSilver)0049 (X/Y — Central Kalos)0053 (Omega Ruby/Alpha Sapphire)0091 (Sun/Moon — Alola dex)0111 (U.Sun/U.Moon — Alola dex)0129 (Let's Go Pikachu/Let's Go Eevee)0144 (Sword/Shield)0023 (Brilliant Diamond/Shining Pearl)0080 (Legends: Arceus)0134 (Scarlet/Violet)0042 (The Isle of Armor)0062 (The Crown Tundra),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),40,Slow,"Dragon, Water 2","50% male, 50% female","5 (1,029–1,285 steps)",20,150,244,10,22,130,55,103,229,15,31,141,20,40,152,80,148,284,200,100,50,50,200,200,50,100,100,100,100,100,100,100,100,100,100,50,100
Gyarados,https://img.pokemondb.net/artwork/gyarados.jpg,0130,Water Flying,Atrocious Pokémon,6.5 m (21′04″),235.0 kg (518.1 lbs),1. IntimidateMoxie (hidden ability),0130 (Yellow/Red/Blue)0077 (Gold/Silver/Crystal)0053 (Ruby/Sapphire/Emerald)0130 (FireRed/LeafGreen)0024 (Diamond/Pearl)0024 (Platinum)0077 (HeartGold/SoulSilver)0050 (X/Y — Central Kalos)0054 (Omega Ruby/Alpha Sapphire)0092 (Sun/Moon — Alola dex)0112 (U.Sun/U.Moon — Alola dex)0130 (Let's Go Pikachu/Let's Go Eevee)0145 (Sword/Shield)0024 (Brilliant Diamond/Shining Pearl)0081 (Legends: Arceus)0135 (Scarlet/Violet)0043 (The Isle of Armor)0063 (The Crown Tundra),2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),189,Slow,"Dragon, Water 2","50% male, 50% female","5 (1,029–1,285 steps)",95,300,394,125,229,383,79,146,282,60,112,240,100,184,328,81,150,287,540,100,50,50,400,100,100,50,100,0,100,100,50,200,100,100,100,50,100
